"Company","Sector","Sub-Sector","Symbol"
"Crédit Agricole","Financial Services","Regional Banks","ACA.PA"
"Air Liquide","Basic Materials","Industrial Gases","AI.PA"
"Airbus","Industrials","Aerospace & Defense","AIR.PA"
"Alstom","Industrials","Rail Transport","ALO.PA"
"Danone","Consumer Defensive","Packaged Foods & Meats","BN.PA"
"BNP Paribas","Financial Services","Diversified Banks","BNP.PA"
"Carrefour","Consumer Defensive","Hypermarkets & Super Centers","CA.PA"
"Capgemini","Technology","IT Consulting & Other Services","CAP.PA"
"AXA","Financial Services","Life & Health Insurance","CS.PA"
"Vinci","Industrials","Construction & Engineering","DG.PA"
"Dassault Systèmes","Technology","Application Software","DSY.PA"
"EssilorLuxottica","Healthcare","Apparel, Accessories & Luxury Goods","EL.PA"
"Bouygues","Industrials","Construction & Engineering","EN.PA"
"Engie","Utilities","Gas Utilities","ENGI.PA"
"Eurofins Scientific","Healthcare","Biotechnologies","ERF.PA"
"Société Générale","Financial Services","Diversified Banks","GLE.PA"
"Thales","Industrials","Aerospace & Defense","HO.PA"
"Kering","Consumer Cyclical","Apparel, Accessories & Luxury Goods","KER.PA"
"Legrand","Industrials","Electrical Components & Equipment","LR.PA"
"LVMH","Consumer Cyclical","Apparel, Accessories & Luxury Goods","MC.PA"
"Michelin","Industrials","Tires & Rubber","ML.PA"
"ArcelorMittal","Basic Materials","Steel","MT.AS"
"L'Oréal","Consumer Defensive","Personal Products","OR.PA"
"Orange","Communication Services","Integrated Telecommunication Services","ORA.PA"
"Publicis","Communication Services","Advertising","PUB.PA"
"Pernod Ricard","Consumer Defensive","Distillers & Vintners","RI.PA"
"Hermès","Consumer Cyclical","Apparel, Accessories & Luxury Goods","RMS.PA"
"Renault","Consumer Cyclical","Automobile Manufacturers","RNO.PA"
"Safran","Industrials","Aerospace & Defense","SAF.PA"
"Sanofi","Healthcare","Pharmaceuticals","SAN.PA"
"Saint-Gobain","Industrials","Building Products","SGO.PA"
"Stellantis","Consumer Cyclical","Automobile Manufacturers","STLA.PA"
"STMicroelectronics","Technology","Semiconductors","STM.PA"
"Schneider Electric","Industrials","Electrical Components & Equipment","SU.PA"
"Teleperformance","Communication Services","Outsourcing","TEP.PA"
"TotalEnergies","Energy","Integrated Oil & Gas","TTE.PA"
"Unibail-Rodamco-Westfield","Real Estate","Retail REITs","URW.AS"
"Veolia","Industrials","Multi-Utilities","VIE.PA"
"Vivendi","Communication Services","Movies & Entertainment","VIV.PA"
"Worldline","Technology","Data Processing & Outsourced Services","WLN.PA"
